organism_name	infraspecific_name	lineage	taxonomy_id	bco_id	schema_version	bioproject	biosample	strain	sra_run_id	genome_assembly_id	sample_name	instrument	isolate	collected_by	collection_date	geo_loc_name	isolation_source	lat_lon	culture_collection	host	host_age	host_description	host_disease	host_disease_outcome	host_disease_stage	host_health_state	host_sex	id_method
Influenza A virus	24-009110-025-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019271		SRR28752516	GCA_039461755.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009110-025-original		2024	USA	N/A			Cattle								
Influenza A virus	24-005369-001-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41106766		SRR28834961	GCA_039448205.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-005369-001-original		2024	USA	N/A			Turkey								
Influenza A virus	24-004881-004-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41106762		SRR28834929	GCA_039438505.1	Viral sample from Influenza A virus	Illumina MiSeq	24-004881-004-original		2024	USA	N/A			Snow Goose								
Influenza A virus	24-010195-001-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019370		SRR28752644	GCA_039462015.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-010195-001-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009110-021-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019267		SRR28752585	GCA_039461735.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009110-021-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009776-002-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019353		SRR28752492	GCA_039461765.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-009776-002-original		2024	USA	N/A			Cattle								
Influenza A virus	24-005334-001-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41106764		SRR28834884	GCA_039453685.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-005334-001-original		2024	USA	N/A			Chicken								
Influenza A virus	24-009110-023-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019269		SRR28752518	GCA_039461745.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009110-023-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009110-027-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019273		SRR28752514	GCA_039461775.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009110-027-original		2024	USA	N/A			Cattle								
Influenza A virus	24-005334-002-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41106765		SRR28834962	GCA_039453385.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-005334-002-original		2024	USA	N/A			Chicken								
