organism_name	infraspecific_name	lineage	representative_genome_org	representative_genome_acc	representative_genome_uniprot_acc	genome_assembly_id	taxonomy_id	bco_id	schema_version	analysis_platform	analysis_platform_object_id	strain	bioproject	biosample	sra_run_id	ngs_read_file_name	ngs_read_file_source	ngs_gc_content	avg_phred_score	min_read_length	num_reads	num_reads_unique	avg_read_length	max_read_length	max_duplicate_read	strategy	instrument	id_method	coding_system	percent_coding	percent_not_coding	complexity_percent	non_complex_percent	stdev_quality	avg_quality_a	avg_quality_t	avg_quality_g	avg_quality_c	count_a	count_c	count_g	count_t	count_n	percent_a	percent_c	percent_g	percent_t	count_all_wn	count_all		
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Alphainfluenzavirus influenzae				GCA_039461745.1	11320	ARGOS_000087	v1.6	HIVE	65857		PRJNA1102327	SAMN41019269	SRR28752518	SRR28752518_2.fastq	SRA	47.65%	32.47905	35	198554	127401	248.442192	301	389	WGS	Illumina MiSeq		Standard	68.20%	31.80%	99.45%	0.55%	8.733528	32.310193	32.869129	32.328214	32.386732	12904204	11729279	11773845	12914619	7244	26.159367	23.777562	23.867906	26.18048	49329191	49321947		
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Alphainfluenzavirus influenzae				GCA_039461745.1	11320	ARGOS_000087	v1.6	HIVE	65853		PRJNA1102327	SAMN41019269	SRR28752518	SRR28752518_1.fastq	SRA	47.58%	32.899938	35	198554	118945	248.377086	301	505	WGS	Illumina MiSeq		Standard	68.39%	31.61%	99.55%	0.45%	8.119248	32.864128	33.201263	32.68644	32.822115	12962074	11727956	11736622	12885080	4532	26.283568	23.781112	23.798684	26.127446	49316264	49311732		
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Alphainfluenzavirus influenzae				GCA_039453685.1	11320	ARGOS_000087	v1.6	HIVE	65374		PRJNA1102327	SAMN41106764	SRR28834884	SRR28834884_2.fastq	SRA	46.41%	35.269133	35	198976	74186	147.352384	151	957	WGS	Illumina iSeq 100		Standard	95.32%	4.68%	99.63%	0.37%	18.438978	35.233305	34.455687	35.668327	35.843024	7911513	6828850	6775217	7794243	9765	26.983711	23.291084	23.108159	26.58374	29319588	29309823		
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Alphainfluenzavirus influenzae				GCA_039453685.1	11320	ARGOS_000087	v1.6	HIVE	65372		PRJNA1102327	SAMN41106764	SRR28834884	SRR28834884_1.fastq	SRA	46.41%	35.830132	35	198976	58983	147.341694	151	967	WGS	Illumina iSeq 100		Standard	96.20%	3.80%	99.82%	0.18%	18.234032	35.912527	35.198175	36.027604	36.257786	7929167	6838801	6764247	7775376	9870	27.045886	23.326716	23.072417	26.521314	29317461	29307591		
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Alphainfluenzavirus influenzae				GCA_039461765.1	11320	ARGOS_000087	v1.6	HIVE	65911		PRJNA1102327	SAMN41019353	SRR28752492	SRR28752492_2.fastq	SRA	47.18%	35.590325	35	270884	91395	144.908924	151	1443	WGS	Illumina iSeq 100		Standard	94.31%	5.69%	99.56%	0.44%	20.276083	35.565885	35.109233	35.777036	35.968659	10388590	9234867	9270798	10332619	26635	26.465379	23.52622	23.617756	26.322791	39253509	39226874		
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Alphainfluenzavirus influenzae				GCA_039461765.1	11320	ARGOS_000087	v1.6	HIVE	65909		PRJNA1102327	SAMN41019353	SRR28752492	SRR28752492_1.fastq	SRA	47.15%	36.004657	35	270884	79555	144.89322	151	1603	WGS	Illumina iSeq 100		Standard	94.85%	5.15%	99.69%	0.31%	20.701995	36.060983	35.618723	36.067793	36.307647	10404964	9302361	9190064	10325091	26775	26.509966	23.700733	23.41462	26.306464	39249255	39222480		
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Alphainfluenzavirus influenzae				GCA_039462015.1	11320	ARGOS_000087	v1.6	HIVE	65980		PRJNA1102327	SAMN41019370	SRR28752644	SRR28752644_2.fastq	SRA	46.20%	35.822604	35	167905	51045	145.470576	151	934	WGS	Illumina iSeq 100		Standard	96.16%	3.84%	99.55%	0.45%	13.724018	35.849526	35.256326	36.008211	36.260075	6611746	5643139	5632876	6520151	17325	27.069322	23.103723	23.061705	26.69432	24425237	24407912		
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Alphainfluenzavirus influenzae				GCA_039462015.1	11320	ARGOS_000087	v1.6	HIVE	65978		PRJNA1102327	SAMN41019370	SRR28752644	SRR28752644_1.fastq	SRA	46.20%	36.220713	35	167905	45403	145.451237	151	751	WGS	Illumina iSeq 100		Standard	96.61%	3.39%	99.69%	0.31%	12.369794	36.303564	35.814758	36.265816	36.545307	6623834	5666521	5608467	6505843	17325	27.122417	23.202536	22.964824	26.639283	24421990	24404665		
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Alphainfluenzavirus influenzae				GCA_039438505.1	11320	ARGOS_000087	v1.6	HIVE	65286		PRJNA1102327	SAMN41106762	SRR28834929	SRR28834929_2.fastq	SRA	43.18%	36.233793	35	132913	87961	228.506211	251	391	WGS	Illumina MiSeq		Standard	52.44%	47.56%	99.45%	0.55%	9.474741	36.251707	36.477283	35.959228	36.166058	8664457	6540278	6571869	8592535	2307	28.528299	21.534299	21.638314	28.291491	30371446	30369139		
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Alphainfluenzavirus influenzae				GCA_039438505.1	11320	ARGOS_000087	v1.6	HIVE	65284		PRJNA1102327	SAMN41106762	SRR28834929	SRR28834929_1.fastq	SRA	43.12%	37.105314	35	132913	83070	228.326168	251	414	WGS	Illumina MiSeq		Standard	52.87%	47.13%	99.47%	0.53%	7.791747	37.186706	37.279482	36.861459	37.012945	8676143	6529931	6554237	8585209	1996	28.589302	21.517184	21.597277	28.28966	30347516	30345520		
