organism_name	assembly_gc_content	phred_average	average_ngs_gc_content	Family	host	state_abbr	genome_assembly_id
Influenza A virus	45.8	32.7	47.6	Viruses	Cattle	TX	GCA_039461745.1
Influenza A virus	45.8	35.5	46.4	Viruses	Chicken	OH	GCA_039453685.1
Influenza A virus	45.9	35.8	47.2	Viruses	Cattle	TX	GCA_039461765.1
Influenza A virus	45.8	36	46.2	Viruses	Cattle	NM	GCA_039462015.1
Influenza A virus	47.7	36.7	43.2	Viruses	Snow Goose	CA	GCA_039438505.1
Influenza A virus	45.7	32.9	46.8	Viruses	Cattle	TX	GCA_039461735.1
Influenza A virus	45.7	35.6	46.2	Viruses	Turkey	MO	GCA_039448205.1
Influenza A virus	45.7	32.8	47.6	Viruses	Cattle	TX	GCA_039461755.1
Influenza A virus	45.8	32.7	46.5	Viruses	Cattle	TX	GCA_039461725.1
Influenza A virus	45.9	35.9	46.6	Viruses	Cattle	TX	GCA_039461785.1
Influenza A virus	46.3	35.2	47.1	Viruses	Canada Goose	IN	GCA_039452055.1
Influenza A virus	45.7	36.4	47.5	Viruses	Snow Goose	CA	GCA_039438925.1
Influenza A virus	45.8	35.6	46.1	Viruses	Chicken	OH	GCA_039453385.1
Influenza A virus	45.7	32.7	46.8	Viruses	Cattle	TX	GCA_039461775.1
Influenza A virus	45.8	32.8	46.6	Viruses	Cat	USA	GCA_039462295.1
Influenza A virus	45.7	32.7	46.2	Viruses	Cattle	TX	GCA_039461645.1
Influenza A virus	45.8	35.9	46	Viruses	Chicken	TX	GCA_039459945.1
Influenza A virus	45.7	35.2	49.2	Viruses	Cattle	TX	GCA_039462565.1
Influenza A virus	45.7	35.8	47.4	Viruses	Cattle	NM	GCA_039462255.1
Influenza A virus	45.9	32.7	47.6	Viruses	Cattle	TX	GCA_039461705.1
Influenza A virus	45.7	35.3	46.6	Viruses	Cattle	TX	GCA_039461605.1
Influenza A virus	45.9	34.7	46.2	Viruses	Cattle	TX	GCA_039461585.1
Influenza A virus	45.7	35.5	47.4	Viruses	Cattle	TX	GCA_039461565.1
Influenza A virus	49.8	36.9	46.9	Viruses	Cattle	TX	GCA_039462415.1
Influenza A virus	45.7	32.7	47.7	Viruses	Cattle	TX	GCA_039461355.1
Influenza A virus	45.7	32.7	47.7	Viruses	Cattle	TX	GCA_039461665.1
Influenza A virus	45.8	32.7	46.7	Viruses	Cattle	TX	GCA_039461695.1
Influenza A virus	45.7	35.4	46.6	Viruses	Cattle	TX	GCA_039461335.1
Influenza A virus	45.7	32.7	47.1	Viruses	Cattle	TX	GCA_039461685.1
Influenza A virus	45.9	35.9	46.4	Viruses	Cattle	TX	GCA_039460775.1
Influenza A virus	45.7	32.8	48	Viruses	Cattle	TX	GCA_039462325.1
Influenza A virus	45.9	32.8	48.2	Viruses	Cattle	TX	GCA_039461345.1
Influenza A virus	45.9	35.4	49.9	Viruses	Cattle	TX	GCA_039460755.1
Influenza A virus	45.7	35.4	46.7	Viruses	Cattle	TX	GCA_039461625.1
Influenza A virus	45.7	35.4	47	Viruses	Cattle	TX	GCA_039462305.1
